plant,unit,value
1,1,657.0
1,2,1350.0
1,3,2.88
1,4,221.39499999999992
1,5,203.19100000000006
1,6,26.32
1,7,529.0
1,8,8.8
1,9,255.0
1,10,234.2998
1,11,358.98
1,12,285.64
1,13,26.1
1,14,196.62
1,15,19.65
1,16,80.91
1,17,189.72
1,18,614.4985329166714
1,19,683.02
1,20,400.0
1,21,100.0
1,22,198.0
1,23,165.62
1,24,212.3
1,25,26.04
1,26,62.0
1,27,149.6
1,28,6.0
1,29,18.48
1,30,250.0455779369377
1,31,44.0
1,32,252.84
1,33,242.52
1,34,162.54
1,35,10.159486401488357
1,36,71.4
1,37,1038.274
1,38,866.6313466523545
1,39,0.8
1,40,197.0
1,41,96.25
1,42,175.1
1,43,5.94
2,1,11.88
2,2,390.33519303120624
2,3,388.0
2,4,350.0
2,5,28.98
2,6,68.85
2,7,3.64
2,8,18.016399999999994
2,9,89.5
2,10,128.32219999999998
2,11,253.98780000000005
2,12,360.3004
2,13,2.64
2,14,124.47319999999999
2,15,315.7
2,16,16.1
2,17,601.3500574714286
3,1,4.81
3,2,4.07
3,3,11.84
3,4,4.07
3,5,24.94099999999992
3,6,39.00223185751511
3,7,37.5
3,8,4.81
3,9,5.55
3,10,200.2
3,11,57.68332840527321
3,12,4.81
3,13,5.55
3,14,124.2
3,15,345.76
3,16,84.93
3,17,84.93
3,18,5.55
3,19,37.74
3,20,5.55
3,21,97.44
3,22,4.81
3,23,4.81
3,24,10.78693865815942
3,25,28.588000000031105
3,26,9.54
3,27,11.88
3,28,158.1
3,29,29.0
3,30,15.6
3,31,97.47
3,32,531.158
3,33,226.1
4,1,96.28
4,2,96.28
