stage,objective
1,3.0217835944827795e6
2,1.0432060982941911e6
3,803683.0049112961
4,1.2639295743368417e6
5,1.8630161295069829e6
6,1.8630177077146582e6
7,913041.9137600008
8,802952.4888259042
9,389674.58512438275
10,663369.0938097723
11,389646.5112347957
12,336141.2230399996
13,268741.54908963386
14,1.0432102383837029e6
15,2.359528436458174e6
16,802945.3961873837
17,712430.0974121932
18,1.0051582973496644e6
19,1.0051594663901366e6
20,802947.6800498413
21,336140.88058999996
22,930978.7804475522
23,342872.19066207204
