stage,objective
1,3.9925442775975317e6
2,3.696408768152572e6
3,3.7121114412231147e6
4,3.2460966659103557e6
5,3.246098705730386e6
6,3.5201707020699605e6
7,4.0653216408618763e6
8,3.738777438500002e6
9,5.041895015229873e6
10,1.5328660389422193e7
11,1.863022371358499e6
12,802948.91426
13,268730.035422693
14,281650.67429759493
15,256488.10083465185
16,256467.74816392222
17,256469.6907422538
18,389626.90906
19,248407.56463702663
20,245091.19631486165
21,245092.618883838
22,245084.72675861217
23,245083.02260000003
