stage,objective
1,1.5281939205443785e6
2,1.528190196405597e6
3,1.528185564448133e6
4,1.8630234944649413e6
5,1.8630220856867135e6
6,1.5281753351606242e6
7,1.863021376000002e6
8,1.0431852007459924e6
9,2.42143477478227e6
10,3.021770601999998e6
11,3.021771044885654e6
12,3.021786647255741e6
13,3.0217902159953527e6
14,3.021790656558782e6
15,3.4118756300457492e6
16,3.8216034300814793e6
17,1.5281788945000004e6
18,3.5561186832323615e6
19,3.5201674917167295e6
20,3.530936505002588e6
21,1.5281780121744075e6
22,300862.87368053995
23,245084.83308490188
