stage,objective
1,802948.461595431
2,1.5281819577437341e6
3,1.6287425520542823e6
4,1.5281756764487997e6
5,1.2639261313491948e6
6,1.138429344964508e6
7,1.4103230057834163e6
8,1.6975018142820075e6
9,1.897445646400001e6
10,1.3927280505487956e6
11,1.4786424376740754e6
12,3.0217669682075456e6
13,1.8630161935810037e6
14,1.5281897621861044e6
15,2.189582210441502e6
16,1.5251825560552906e6
17,1.528172960656602e6
18,983313.0247448366
19,3.021766407731302e6
20,588633.0317526245
21,256469.52178353653
22,245086.77978000004
23,245084.83315794283
