stage,objective
1,1.8630419019241184e6
2,2.1164298712732494e6
3,2.1164206450452954e6
4,2.421441087212451e6
5,1.8630225646163672e6
6,2.284856060775928e6
7,2.4214336237866357e6
8,2.1164164152577706e6
9,3.0217684823013023e6
10,1.8724872449235246e6
11,1.5386445254443213e6
12,336160.3233708311
13,1.316971361671472e6
14,3.0217816448054314e6
15,1.5281939744428452e6
16,2.116426670695983e6
17,3.0217703960999995e6
18,3.0217721259257197e6
19,3.8674558406688683e6
20,4.104384574317148e6
21,4.837803486427087e6
22,5.160468051296857e6
23,1.1290332308152836e7
