stage,objective
1,3.021781384789653e6
2,3.0217744209215045e6
3,3.0217792344227657e6
4,2.421437710026957e6
5,3.0217667161036283e6
6,1.8630245604999997e6
7,1.863021376000002e6
8,1.5281789739610553e6
9,3.021770401723303e6
10,3.6964096113606095e6
11,3.290901527959261e6
12,4.104383611401446e6
13,9.501643191112474e6
14,5.170957556554221e6
15,9.459417605169669e6
16,9.387933567100443e6
17,4.364524828412581e6
18,4.084685434751548e6
19,9.41896125921129e6
20,9.443359338851824e6
21,5.5603522293591425e6
22,1.4292873247039523e7
23,5.244125298887663e6
