plant,unit,value
1,1,655.63
1,2,1347.3
1,3,2.52
1,4,187.06899999999993
1,5,158.0443081441529
1,6,22.68
1,7,529.0
1,8,9.68
1,9,255.0
1,10,229.39840000000004
1,11,285.64
1,12,208.44
1,13,26.1
1,14,151.42
1,15,18.34
1,16,65.25
1,17,159.12
1,18,465.40668245091416
1,19,498.42
1,20,399.99979999999994
1,21,91.0
1,22,170.0
1,23,136.89
1,24,158.26
1,25,21.0
1,26,44.0
1,27,111.52
1,28,5.4
1,29,18.48
1,30,184.8
1,31,44.0
1,32,217.14937933325274
1,33,208.98
1,34,110.94
1,35,9.6
1,36,74.8
1,37,890.3289999999998
1,38,683.1849525755506
1,39,0.5
1,40,197.0
1,41,70.0
1,42,138.02
1,43,5.94
2,1,11.22
2,2,305.4662543757103
2,3,298.190336897046
2,4,337.42100686825523
2,5,28.98
2,6,60.75
2,7,2.88
2,8,16.241599999999988
2,9,75.25
2,10,120.44119999999995
2,11,237.53561250372164
2,12,341.40319999999997
2,13,2.4
2,14,113.78559999999997
2,15,285.6
2,16,13.1
2,17,516.4583646602855
3,1,2.99
3,2,2.53
3,3,7.36
3,4,2.53
3,5,28.403999999999993
3,6,33.44
3,7,31.009999999999987
3,8,2.99
3,9,3.45
3,10,158.4
3,11,48.4
3,12,2.99
3,13,3.45
3,14,99.10762504703905
3,15,328.4
3,16,61.09
3,17,61.09
3,18,3.45
3,19,23.46
3,20,3.45
3,21,70.56
3,22,2.99
3,23,2.99
3,24,11.33
3,25,21.76
3,26,6.89
3,27,8.58
3,28,122.76
3,29,20.5
3,30,17.16
3,31,70.11
3,32,509.0540000000001
3,33,161.5
4,1,68.06
4,2,67.49169191293764
