stage,objective
1,4.819084774009302e6
2,5.160479575110316e6
3,4.819083702721313e6
4,4.104381977104619e6
5,3.9552856110886633e6
6,3.477868683293149e6
7,4.065321553496748e6
8,3.738777438500002e6
9,5.041891175300002e6
10,4.329270902080826e6
11,3.1520322827678993e6
12,3.879210858000003e6
13,3.021782659868475e6
14,2.5068587712875344e6
15,1.863031386070121e6
16,1.863023583825115e6
17,2.7995542975710556e6
18,2.719495484085042e6
19,2.3627808972285055e6
20,2.92408737338862e6
21,739299.1829289952
22,1.277002397790032e6
23,346328.44165812485
