plant,unit,value
1,1,657.0
1,2,1350.0
1,3,2.88
1,4,221.39499999999992
1,5,198.73300000000003
1,6,26.88
1,7,529.0
1,8,9.68
1,9,255.0
1,10,233.59959999999998
1,11,343.54
1,12,266.34
1,13,29.0
1,14,194.36
1,15,15.72
1,16,80.91
1,17,195.84
1,18,571.1563523566641
1,19,630.3490818687239
1,20,400.0
1,21,100.0
1,22,198.0
1,23,162.24
1,24,204.58
1,25,26.04
1,26,58.0
1,27,144.16
1,28,6.3
1,29,20.16
1,30,233.2
1,31,48.0
1,32,252.84
1,33,247.68
1,34,144.48
1,35,7.68
1,36,95.2
1,37,1018.5479999999999
1,38,841.6489364748636
1,39,0.7
1,40,197.0
1,41,92.75
1,42,175.1
1,43,6.48
2,1,8.58
2,2,373.45
2,3,373.45
2,4,350.0
2,5,32.2
2,6,68.45267965331408
2,7,3.44
2,8,17.598799999999994
2,9,89.5
2,10,129.8984
2,11,257.4216
2,12,357.6008
2,13,2.16
2,14,122.9464
2,15,311.4
2,16,15.5
2,17,614.4
3,1,4.68
3,2,3.96
3,3,12.48
3,4,3.96
3,5,31.866999999999898
3,6,42.56
3,7,42.0
3,8,4.68
3,9,5.4
3,10,193.6
3,11,72.82243390604889
3,12,4.68
3,13,5.4
3,14,120.06
3,15,347.0
3,16,83.44
3,17,84.89585619299648
3,18,5.4
3,19,36.72
3,20,5.4
3,21,95.76
3,22,4.68
3,23,4.68
3,24,14.42
3,25,34.0
3,26,8.48
3,27,10.56
3,28,158.11557139465538
3,29,28.5
3,30,24.18799999999999
3,31,97.47
3,32,533.0
3,33,193.8
4,1,96.28
4,2,96.28
