stage,objective
1,2.711145942688547e6
2,1.5281724341404587e6
3,1.528181673872698e6
4,1.8630247474109977e6
5,2.1164183702107966e6
6,2.1164196173353493e6
7,1.8630217030814402e6
8,1.0054830853105076e6
9,1.0051799948835261e6
10,1.5281800487277731e6
11,741196.8671599999
12,1.0431869190314561e6
13,644175.9498798028
14,1.5281878837396149e6
15,3.0217728084999993e6
16,1.8630204865071326e6
17,2.284849424807664e6
18,2.116417585632015e6
19,3.021769686328126e6
20,3.0379728734893e6
21,3.0217710927601885e6
22,2.5641918352762517e6
23,3.446552054102298e6
