stage,objective
1,3.9925468935000002e6
2,3.9925536030789167e6
3,3.9925586381905153e6
4,3.0217729898675233e6
5,3.2461006604999974e6
6,3.0217704591000006e6
7,3.0217682198441997e6
8,3.520173356915362e6
9,5.126737944434956e6
10,4.1889187433117777e6
11,3.1520291835901514e6
12,782472.6110999975
13,1.0431881080037653e6
14,1.534064540286785e6
15,2.209397665372111e6
16,1.5281758169999998e6
17,3.0217650972060338e6
18,1.3187191418748116e6
19,2.421430303558022e6
20,4.1043808443745673e6
21,4.837801565843198e6
22,3.021770204384249e6
23,2.357339950984565e6
