stage,objective
1,4.819082270579174e6
2,4.104400763346374e6
3,3.0217715367461815e6
4,2.116427553935766e6
5,3.0217669206869826e6
6,2.8026150204619393e6
7,2.209386601523593e6
8,2.11641732087034e6
9,3.021773890300002e6
10,4.188919755158879e6
11,5.1267373048869e6
12,4.83780394740466e6
13,4.1889196805000007e6
14,5.170960201339662e6
15,4.819087785499997e6
16,5.170951184215084e6
17,4.3645360950296335e6
18,3.712127626504408e6
19,4.819086903000001e6
20,3.4118693915e6
21,478817.97417552257
22,507972.0358287933
23,245087.1868358999
