stage,objective
1,2.1164447459564954e6
2,927301.5399243832
3,803687.5308386534
4,1.0431926986860707e6
5,803667.739265345
6,663348.3665531669
7,268726.70601145085
8,291861.60549136996
9,268738.395064882
10,281654.52995313425
11,291860.2840400003
12,268727.56148181576
13,802960.331472178
14,256489.0102564278
15,256480.1970781805
16,291868.6551692295
17,532853.5702558141
18,716937.9556999998
19,734262.9067600002
20,969528.1575529743
21,1.3742395172499833e6
22,293399.7751392469
23,363116.25123918726
