stage,objective
1,3.021787760615967e6
2,3.411881177420631e6
3,3.5201854215509593e6
4,3.655155857704386e6
5,3.6078956343084797e6
6,3.8422322115051895e6
7,4.983320044352949e6
8,3.712111244991742e6
9,4.8190820448002145e6
10,2.8480232328129634e6
11,4.188918277101554e6
12,3.940995727396436e6
13,3.6456844374370426e6
14,3.9925508237838075e6
15,3.992567630252868e6
16,5.170953775314011e6
17,5.322517409266807e6
18,8.728542995000005e6
19,8.762324300447553e6
20,8.720501243415192e6
21,6.727840739538003e6
22,2.6302500846765647e6
23,795884.032501544
