stage,objective
1,1.5319059684854485e6
2,2.2848688359504566e6
3,927260.4369967431
4,927266.0618345514
5,802947.5278750025
6,844388.105593808
7,927258.2223000005
8,1.259230886936348e6
9,716934.9198170826
10,927259.1586915962
11,802944.6523187626
12,336147.67994568124
13,655114.6121499604
14,716937.9370582644
15,1.5019777811445557e6
16,1.4786446759662367e6
17,3.0217699709226117e6
18,2.11641852851275e6
19,802943.4524678988
20,802946.4702647063
21,310002.63714
22,245094.83577579842
23,245083.02260000003
