stage,objective
1,3.100144722786598e6
2,2.284872728738211e6
3,1.8630195935801342e6
4,1.0431908737921789e6
5,2.209389235486582e6
6,3.021767996729471e6
7,3.0217696586191505e6
8,3.0363339116688296e6
9,2.4214346006127037e6
10,3.004143990834888e6
11,2.639251465544384e6
12,716937.5492599998
13,510597.958654711
14,312510.9982615588
15,291871.55045340117
16,281653.81862991164
17,310000.3664107076
18,510593.6513295658
19,802945.652093864
20,1.04318420745013e6
21,1.0051574584539132e6
22,1.3413825496124001e6
23,2.633405400788103e6
