plant,unit,value
1,1,657.0
1,2,1350.0
1,3,2.88
1,4,232.83699999999996
1,5,216.565
1,6,27.72
1,7,529.0
1,8,14.08
1,9,255.0
1,10,235.0
1,11,374.42
1,12,304.94
1,13,37.7
1,14,210.18
1,15,26.2
1,16,85.26
1,17,199.92
1,18,673.79
1,19,710.0799651243126
1,20,400.0
1,21,100.0
1,22,200.0
1,23,167.31
1,24,243.18
1,25,27.44
1,26,74.0
1,27,171.36
1,28,9.0
1,29,26.88
1,30,281.6
1,31,64.0
1,32,258.0
1,33,255.42
1,34,173.35436935697075
1,35,12.8
1,36,125.8
1,37,1048.137
1,38,955.0800000000002
1,39,0.5
1,40,197.0
1,41,99.75
1,42,187.46
1,43,8.64
2,1,17.16
2,2,421.95
2,3,421.95
2,4,350.0
2,5,41.86
2,6,70.65
2,7,3.84
2,8,18.642799999999994
2,9,94.75
2,10,131.21437390670232
2,11,260.85540000000003
2,12,361.65020000000004
2,13,2.4
2,14,125.2366
2,15,317.85
2,16,16.85
2,17,633.6
3,1,4.81
3,2,4.18
3,3,12.16
3,4,4.18
3,5,28.403999999999925
3,6,47.12
3,7,47.505000000001736
3,8,4.81
3,9,5.55
3,10,204.6518794592148
3,11,81.4
3,12,4.81
3,13,5.7
3,14,128.34
3,15,347.0
3,16,84.93
3,17,84.93
3,18,5.55
3,19,38.26072932724738
3,20,5.7
3,21,107.52
3,22,4.81
3,23,4.81
3,24,16.48
3,25,34.0
3,26,10.6
3,27,13.2
3,28,167.4
3,29,31.5
3,30,24.96
3,31,98.25419096600413
3,32,533.0
3,33,219.64
4,1,94.62
4,2,94.62
