stage,objective
1,3.9925436014268994e6
2,4.837810186680645e6
3,4.819083334159687e6
4,3.992545767736964e6
5,4.065320889477849e6
6,4.3645262587396875e6
7,3.0217713374999985e6
8,1.5319089733219296e6
9,3.021778536545925e6
10,3.147408629499998e6
11,3.9925483751579747e6
12,4.1043824797846153e6
13,5.126742759500004e6
14,5.1267426875e6
15,3.219023430658009e6
16,5.160474328763872e6
17,4.237122837664776e6
18,4.1889160887812003e6
19,4.364524617449911e6
20,3.021765766711056e6
21,2.116424563608226e6
22,4.1889137975838855e6
23,2.251163192299399e6
