stage,objective
1,3.0217839818768427e6
2,2.2848629034057856e6
3,1.5281787410620227e6
4,1.5281792138630413e6
5,1.8630194812414981e6
6,1.5281741074784212e6
7,1.0431842878655419e6
8,2.1164197344615757e6
9,1.0431864852599986e6
10,435193.15722985193
11,532848.1227935329
12,2.6839510192335397e6
13,2.945368442182772e6
14,2.8432195362400524e6
15,1.8630283591510523e6
16,1.8630260749899503e6
17,2.284853879999999e6
18,3.021766228251649e6
19,3.021767352046512e6
20,1.0235854689800069e6
21,551557.1449519745
22,256497.07268523506
23,245090.92237167843
