stage,objective
1,1.5281922522457354e6
2,1.8630203329999968e6
3,1.2639413688806258e6
4,1.2639356964769103e6
5,1.5281704933789484e6
6,1.5281749676958062e6
7,1.8630190169879496e6
8,1.86302103030378e6
9,2.6699577399577573e6
10,3.021766607227545e6
11,3.0217719555054866e6
12,1.6287309785042107e6
13,3.0217733044999987e6
14,3.0217885116582885e6
15,3.696411531499997e6
16,4.5894202621153e6
17,3.0217712424999997e6
18,3.0363354937673826e6
19,3.7121122881000005e6
20,3.24610350072971e6
21,1.1889247036365448e6
22,389011.8912660619
23,245092.29784123623
