stage,objective
1,3.9925468935000002e6
2,3.0363427916035056e6
3,3.0217796454642415e6
4,3.0217756930724904e6
5,3.712109436241396e6
6,3.520170291792102e6
7,3.2460998519764617e6
8,3.021766157529846e6
9,3.0217673337575644e6
10,3.0217726765e6
11,4.1889170561522543e6
12,4.1889199214999974e6
13,3.9925462598793134e6
14,9.534845167750001e6
15,9.459420735e6
16,9.387937023517072e6
17,4.364530286499999e6
18,4.819086902999997e6
19,3.9860550360423457e6
20,7.181947812171824e6
21,5.724619736012263e6
22,2.765355916729551e6
23,3.1747574735186896e6
