stage,objective
1,3.0217831556471735e6
2,3.021772281499997e6
3,2.116422742682457e6
4,2.1164264223631658e6
5,2.116424840499997e6
6,1.5281783470840119e6
7,1.5281937962674946e6
8,1.0051823079056963e6
9,1.628740572888244e6
10,1.0051694132449366e6
11,1.8630202474000007e6
12,281659.47933841683
13,256485.9200119488
14,268756.9667409742
15,256508.0675995783
16,256483.64172472176
17,248416.43157565128
18,256470.08517999994
19,248404.95617999998
20,246565.70711446577
21,245091.18206000008
22,245084.0795600438
23,245083.02260000003
