stage,objective
1,3.520172167165078e6
2,3.4118740371941403e6
3,2.700240266079709e6
4,2.116421223312676e6
5,2.116424378606595e6
6,2.116423033500001e6
7,2.2093854048838466e6
8,1.5281791235000007e6
9,3.0217699540182874e6
10,3.021770601999998e6
11,687217.9441
12,708810.3902745377
13,716941.8272575028
14,803681.8248831797
15,1.8630205943997111e6
16,3.411869407685321e6
17,3.246095488901451e6
18,4.188914874683555e6
19,4.552162470743347e6
20,3.0217700790999997e6
21,4.837804796231477e6
22,3.9925412074036663e6
23,468576.27845384734
