stage,objective
1,2.421438283419803e6
2,2.1164181855711564e6
3,2.223848886974111e6
4,1.0431852237600014e6
5,1.6851299952746257e6
6,2.246018599469755e6
7,2.830818704500001e6
8,3.259829028499998e6
9,3.429315567652371e6
10,2.116423712094296e6
11,1.4786444765000008e6
12,2.4214358244999982e6
13,3.152038509743601e6
14,3.3544196431568824e6
15,3.0217736828269064e6
16,2.8546831651354413e6
17,2.5808349505248964e6
18,3.0217714568312783e6
19,394483.82428608136
20,256503.19716056623
21,613557.2202841921
22,679333.8792091755
23,517350.29512079287
