stage,objective
1,3.021784171021998e6
2,4.188918411500007e6
3,4.188917038715422e6
4,4.941548474108443e6
5,4.837800707007408e6
6,4.819083901250914e6
7,5.126737471601725e6
8,5.1080209322409555e6
9,9.6864458346745e6
10,1.3486064814810812e7
11,4.819083896685891e6
12,9.429308463e6
13,2.209391335199628e6
14,1.1061447166430708e6
15,757026.7215471482
16,664732.9486833615
17,281651.26746865176
18,532852.7074999996
19,256466.87598
20,248405.97071274905
21,309998.01701000007
22,309999.7498548976
23,2.1978097435835293e6
