stage,objective
1,2.683961505423948e6
2,1.8630190106141642e6
3,3.021773853193626e6
4,2.68395522013551e6
5,2.284849579105243e6
6,2.2848509298668653e6
7,2.2848529300123565e6
8,3.021766775914971e6
9,2.384682172761809e6
10,741197.3566999994
11,532850.2882152405
12,741197.8767000008
13,1.955992772500001e6
14,340080.5788445119
15,1.2728584094766146e6
16,725553.7656288715
17,1.0715064363411441e6
18,907655.2006999999
19,769212.6419721143
20,548397.0705182352
21,272065.8100643649
22,245092.57887983657
23,245084.4510363778
