stage,objective
1,4.819086133499995e6
2,3.879214720948413e6
3,4.819086807994962e6
4,3.0217712712059394e6
5,3.9925434610972404e6
6,4.364524948981158e6
7,3.7121096025989056e6
8,3.0363360635135993e6
9,3.021771373499997e6
10,3.0217727779589966e6
11,3.0217653604437523e6
12,1.0431843927599993e6
13,2.2093892584000006e6
14,3.0217841065806597e6
15,765446.3396892315
16,687228.9819335965
17,1.0051631681460906e6
18,1.5281770384999998e6
19,1.5281770424999995e6
20,2.7749055649884306e6
21,1.4703381093125306e6
22,1.6325292702417802e6
23,1.4312534354944201e6
