stage,objective
1,3.9925468935000002e6
2,4.095079004832551e6
3,3.9925511593449414e6
4,3.03306322479555e6
5,3.1765052248559743e6
6,4.364530320999995e6
7,4.188916456567414e6
8,5.228813358371317e6
9,5.324953559214845e6
10,5.026966303382739e6
11,4.364524630123094e6
12,3.021766735959206e6
13,3.021770452999998e6
14,2.284856702357441e6
15,1.863017661011843e6
16,1.0357747495507672e6
17,1.0035351810036106e6
18,927257.4537521349
19,2.6573080047907736e6
20,4.837804798301166e6
21,5.170942220783239e6
22,4.104380048568461e6
23,4.195525929968336e6
