stage,objective
1,3.021777687837146e6
2,3.0217746116918176e6
3,3.520174632762097e6
4,3.9925535371585265e6
5,3.7993613773552254e6
6,4.364526864386298e6
7,3.7121118304652795e6
8,4.775530090945736e6
9,5.227217639600001e6
10,8.442193586521707e6
11,3.712112898599997e6
12,3.021769862731207e6
13,3.0217727414758727e6
14,1.4786451047401447e6
15,964413.4992584009
16,803666.796124489
17,1.0051591457010554e6
18,741193.7517948644
19,1.8630206929281782e6
20,802947.5168310665
21,1.5281714936071988e6
22,387657.8013670393
23,250323.43097160835
