stage,objective
1,2.4365423490379006e6
2,964413.1909451075
3,2.1164304491442293e6
4,1.1801860325101838e6
5,803668.1810680218
6,802947.65326
7,802941.6608216092
8,741196.4293545205
9,802945.6467000004
10,687216.1765999999
11,663350.0037992913
12,802948.7710999995
13,281657.9583604038
14,256481.4275911795
15,281670.9414931345
16,569060.2209750684
17,1.0051611243169662e6
18,1.528175104756156e6
19,2.2848501804929106e6
20,2.5760564381348006e6
21,3.0217679863646002e6
22,3.696407061251402e6
23,1.170718944663054e6
