plant,unit,value
1,1,655.63
1,2,1350.0
1,3,1.8
1,4,187.06899999999987
1,5,158.6110000000001
1,6,22.12
1,7,529.0
1,8,10.56
1,9,255.0
1,10,229.74850000000006
1,11,279.2199999999998
1,12,212.3
1,13,30.45
1,14,151.42
1,15,20.601005696472498
1,16,64.38
1,17,158.56230748607086
1,18,454.03171947009105
1,19,494.8805820994753
1,20,399.9997
1,21,96.0
1,22,180.0
1,23,136.89
1,24,146.68
1,25,20.72
1,26,52.0
1,27,110.39349843127215
1,28,6.6
1,29,21.84
1,30,184.8
1,31,49.759874129478725
1,32,229.62
1,33,203.82
1,34,123.84
1,35,12.8
1,36,85.02442874346616
1,37,900.1919999999997
1,38,636.0280000000004
1,39,0.4
1,40,197.0
1,41,64.75
1,42,135.96
1,43,5.94
2,1,13.2
2,2,286.15
2,3,286.15
2,4,344.87953650411333
2,5,35.42
2,6,60.3
2,7,2.76
2,8,15.719599999999984
2,9,76.0
2,10,120.96659999999994
2,11,237.96340000000015
2,12,341.40319999999997
2,13,2.4
2,14,114.54899999999998
2,15,287.75
2,16,13.25
2,17,505.6
3,1,3.51
3,2,2.97
3,3,8.64
3,4,2.97
3,5,14.552000000000037
3,6,35.90999999999947
3,7,36.0
3,8,3.51
3,9,4.05
3,10,149.6
3,11,55.0
3,12,3.51
3,13,4.05
3,14,92.46
3,15,337.08
3,16,55.13
3,17,55.13
3,18,4.05
3,19,27.54
3,20,4.05
3,21,68.88
3,22,3.51
3,23,3.51
3,24,11.33
3,25,25.84
3,26,9.01
3,27,11.543866110408471
3,28,117.18
3,29,18.5
3,30,17.16
3,31,63.27
3,32,520.1060000000001
3,33,155.04
4,1,61.42
4,2,61.42
