stage,objective
1,4.819086133499995e6
2,4.380300455328807e6
3,4.819090597238287e6
4,3.9925453737643138e6
5,3.9925489265e6
6,3.246100800499998e6
7,3.2461008044999987e6
8,3.0217706292479783e6
9,3.845570133283496e6
10,3.2822931955043375e6
11,1.0431844842193611e6
12,510597.5418999996
13,314352.2639842881
14,429023.4124997449
15,248457.92294118367
16,256478.82567285676
17,256471.3867842832
18,248405.06079564127
19,256467.61043999996
20,268726.71473025694
21,250889.7200964787
22,248403.15158
23,245089.12038331688
