from,to,value
1,1,0.0
1,2,2221.526909390503
1,3,215.01847517941457
1,4,0.0
1,5,631.5693116622883
2,1,2128.5104696924523
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
3,1,200.7932525928745
3,2,0.0
3,3,0.0
3,4,0.0
3,5,356.3071023505798
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,848.3588185222034
5,1,870.3411725463245
5,2,0.0
5,3,537.6364201328936
5,4,428.257639855839
5,5,0.0
