stage,objective
1,3.231697671400003e6
2,1.8630300407484919e6
3,1.5281812418164574e6
4,803671.3499782421
5,1.2639246165929623e6
6,1.5281746158874817e6
7,764532.041447375
8,336151.8718471825
9,1.22717891556615e6
10,3.051539511877684e6
11,1.0051620292199887e6
12,1.5281707528676018e6
13,2.1164287722100858e6
14,472998.2432198655
15,927264.0074021611
16,1.5281734463085365e6
17,1.5281708668530658e6
18,964405.1594613595
19,464667.26668835524
20,802945.6317600003
21,1.5281770785000003e6
22,729100.6664950862
23,245083.02260000003
