stage,objective
1,3.0217885499636456e6
2,3.520172616000004e6
3,2.2848587143549323e6
4,2.284858773582883e6
5,2.284860590993583e6
6,2.284858386397004e6
7,2.2094087595839873e6
8,2.116438960324388e6
9,1.8630399551597014e6
10,3.0217656919201687e6
11,1.0431837388042044e6
12,964406.7326999996
13,1.423680105078997e6
14,504986.671511516
15,389645.2714682901
16,532853.8511495655
17,1.534080315255016e6
18,2.159546168138936e6
19,3.0217683036045954e6
20,2.4214313918020558e6
21,268742.9789964069
22,248408.63147535466
23,245093.96628617094
