plant,unit,value
1,1,644.67
1,2,1328.105423320013
1,3,4.32
1,4,169.90599999999986
1,5,138.5500000000001
1,6,19.6
1,7,507.84
1,8,10.56
1,9,254.29559999999998
1,10,227.99800000000008
1,11,254.76
1,12,181.42
1,13,24.65
1,14,133.34
1,15,22.27
1,16,60.03
1,17,142.8
1,18,406.12
1,19,424.5319291215416
1,20,399.9988000000001
1,21,88.0
1,22,168.0
1,23,126.75
1,24,146.68
1,25,19.32
1,26,50.0
1,27,103.36
1,28,5.4
1,29,25.2
1,30,171.6
1,31,60.0
1,32,212.39424377566428
1,33,182.60873631834966
1,34,103.2
1,35,10.88
1,36,85.0
1,37,841.0139999999997
1,38,564.6793525330665
1,39,1.1
1,40,195.71959999999999
1,41,64.75
1,42,116.31571914790871
1,43,7.56
2,1,10.844999999999896
2,2,244.89767978279838
2,3,242.5
2,4,333.2
2,5,27.37
2,6,58.05
2,7,2.4
2,8,14.884399999999985
2,9,69.25
2,10,116.23799999999991
2,11,227.66200000000015
2,12,334.65420000000006
2,13,2.16
2,14,110.15079466193157
2,15,277.0
2,16,12.05
2,17,448.0
3,1,3.305822180447547
3,2,2.86
3,3,8.64
3,4,2.86
3,5,39.824596292568884
3,6,35.22837176347161
3,7,31.587999999993276
3,8,3.38
3,9,3.9
3,10,139.87066231744987
3,11,55.0
3,12,3.38
3,13,3.9
3,14,85.56
3,15,330.88
3,16,55.13
3,17,55.13
3,18,3.75
3,19,26.52
3,20,3.9
3,21,65.52401559191843
3,22,3.38
3,23,3.38
3,24,15.45
3,25,23.12
3,26,9.01
3,27,11.22
3,28,107.88
3,29,19.0
3,30,23.4
3,31,63.85518294444467
3,32,509.0540000000001
3,33,135.74936206303965
4,1,61.42
4,2,61.42
