stage,objective
1,4.8190830563504845e6
2,4.364529798328221e6
3,3.021780880807571e6
4,3.0217762652235106e6
5,3.021769540186681e6
6,3.0217686234530434e6
7,3.2460971629530415e6
8,3.021767203802198e6
9,3.992549009999998e6
10,4.3645276474055275e6
11,4.837803500998065e6
12,4.4402135432527065e6
13,2.209392974736683e6
14,1.0431958191045206e6
15,1.5281748613952175e6
16,1.8630251567340903e6
17,1.86301794011065e6
18,844388.4648087937
19,1.0051567919744924e6
20,1.8630184521799516e6
21,1.7645981851181136e6
22,651124.2436200437
23,799484.0437110416
