stage,objective
1,3.0217805933068767e6
2,1.8630181663299277e6
3,2.7002425355968326e6
4,1.8630207055138722e6
5,2.1164248894999996e6
6,2.284850295352675e6
7,2.284852613444209e6
8,2.2848507907076776e6
9,3.021773890300002e6
10,3.0217709423106983e6
11,2.4228780845455565e6
12,687218.1541000009
13,2.116423409444567e6
14,3.0217722815000005e6
15,2.209396927600164e6
16,2.284856427535573e6
17,3.021766348480139e6
18,1.6287388175944872e6
19,1.528176219051674e6
20,1.26393134626e6
21,4.837801108817635e6
22,7.439910066078139e6
23,3.520399987610401e6
