stage,objective
1,4.819084772779569e6
2,4.837807577869624e6
3,5.160478670510307e6
4,4.364532969418064e6
5,4.837801173744664e6
6,4.364526795969322e6
7,3.2460977167510837e6
8,3.5201746408104077e6
9,4.819088200999998e6
10,4.420121094978161e6
11,4.1889192502879724e6
12,9.429299737300754e6
13,9.50164424331288e6
14,1.8949217117697895e7
15,1.8711075182795823e7
16,1.848538313004014e7
17,1.8396806555000022e7
18,1.4695376486646228e7
19,8.762296973000005e6
20,2.612881235874947e7
21,5.378094888982825e7
22,1.1284728480349429e7
23,834135.8453134329
