stage,objective
1,2.2848526440000013e6
2,3.021772121022865e6
3,4.188918003663808e6
4,3.9925476101293713e6
5,4.1889165854519457e6
6,4.364526599444076e6
7,4.0266907229948044e6
8,3.9552842129903063e6
9,3.169667821250275e6
10,4.1889171372530833e6
11,3.7121105965780765e6
12,4.662195800916612e6
13,5.160469240823224e6
14,3.520177821701385e6
15,3.2461029236281365e6
16,3.0217679168308377e6
17,3.0217659788967352e6
18,3.0217713334999997e6
19,964405.3692600001
20,802974.2153413938
21,499034.2364173683
22,745005.6224306324
23,245084.1190526904
