stage,objective
1,2.421448468044296e6
2,802964.7387614697
3,1.5281768503617682e6
4,1.5281833942455947e6
5,1.863020939446248e6
6,1.5281770384999998e6
7,1.8630226174999997e6
8,965284.977260001
9,716942.2815538775
10,336156.87111129053
11,802950.9963476267
12,310003.3345329715
13,268728.0646430794
14,256478.55385203194
15,256476.4667231869
16,256473.66211433522
17,268728.38359114504
18,248404.02597999992
19,245087.08554432436
20,245100.55914243986
21,245096.70989161287
22,245098.00188945196
23,245104.24321462205
