stage,objective
1,4.819086133499995e6
2,5.16048929481262e6
3,4.83780298360984e6
4,5.1267389452115595e6
5,3.9925489265e6
6,4.364525013527244e6
7,4.1889149014983103e6
8,3.9925438651151285e6
9,5.094603831046596e6
10,7.386881828882761e6
11,969109.8644411173
12,1.0051591550199296e6
13,3.021772353500001e6
14,802944.82876
15,1.5281780944174416e6
16,1.8630184333627746e6
17,1.2639271670226473e6
18,561039.2416809127
19,609703.4298951286
20,340080.900078794
21,517640.4989925262
22,565845.5056928012
23,1.3837137651457004e6
