stage,objective
1,4.819084266443476e6
2,5.160484598984629e6
3,9.459417637142792e6
4,9.387936452171743e6
5,9.359878017982855e6
6,9.360221464895919e6
7,9.41896266572927e6
8,1.2628230643521652e7
9,1.8758522504500285e7
10,7.827084124246098e6
11,2.2848503467251062e6
12,3.152033034499999e6
13,1.5155837701101769e6
14,2.525528701162223e6
15,802955.1633405406
16,1.1619019860943705e6
17,729985.0976999998
18,291864.5971400002
19,263536.972462808
20,268731.05414000014
21,336143.48315792484
22,1.0146729551442931e6
23,245086.03883329433
