stage,objective
1,2.2848526440000013e6
2,1.5281821119005643e6
3,1.4786543216915652e6
4,1.528181166193407e6
5,1.2639250577990338e6
6,1.501086010725256e6
7,1.528175957394436e6
8,2.0861176680706292e6
9,2.284854278900001e6
10,3.0217704970211834e6
11,1.4786444765000008e6
12,336144.7763097314
13,256522.11408917652
14,330052.2080209446
15,256560.94038924016
16,314094.22268254077
17,500668.14587679366
18,367118.1612989886
19,342925.77036561654
20,281650.89399000024
21,245086.44578000007
22,245094.57669533003
23,245096.05593701758
