stage,objective
1,3.712111838049397e6
2,3.0217849957580715e6
3,3.0217667018989995e6
4,3.7121111828278527e6
5,3.7121115942354053e6
6,3.246094411947161e6
7,3.1520300219270885e6
8,3.9552856500383615e6
9,4.0772804954321533e6
10,4.837805728679627e6
11,3.6964055622594953e6
12,2.284852061978165e6
13,802947.9156999998
14,256483.75936640846
15,281675.3747333605
16,291859.94762065914
17,336142.25963999983
18,532850.5240599997
19,532850.5280599999
20,716936.4262600001
21,310000.84253999987
22,256469.56892627536
23,1.120566265027032e6
