stage,objective
1,3.0217983033345267e6
2,2.116443894624643e6
3,2.2848598603975326e6
4,2.6839555456638485e6
5,2.2848541806198657e6
6,2.284853217749648e6
7,2.2848494580363296e6
8,1.8630205647479594e6
9,2.4604881093438715e6
10,3.0217717662153244e6
11,3.021771568989951e6
12,2.2848528139999993e6
13,4.57069953998214e6
14,3.24609220814592e6
15,1.8630211387357898e6
16,964406.2105380464
17,1.6287355760999992e6
18,2.116416880565975e6
19,3.955289560014028e6
20,4.268514923226111e6
21,2.1164189138613846e6
22,1.281539669777456e6
23,4.0198394387013614e6
